file_id,ground_truth,ocr_output_L_0,ocr_output_L_1,ocr_output_L_2,ocr_output_L_3
Devanagari_Noto_Serif_Devanagari_14,"सोरखार गेलेग्रा जागोन बिसायख'थियाव सोमजिहोनाय नोगोरारि सोदांनाय आइनखौ गनायथि होयोब्ला आं थैलांनोबो गिया। आसामनि सोरखारा राज्यो-राजानि दुखु दाहाखौ बुजिनो नांगौ, उन्दै उन्दै बैसोनि गथ'नि दुखुखौ बुजिनाया गाहाम।  लोगोसे आरोबाव दाजाबदेरनानै बुंबावो दि आसामनि महरगिरि गौथुम (Artist Association of Assam) आ दासिमाव राज्योनि हालोदखौ दुंहाव एबा गुलुं गुजुं थासारि सोमजिहोनाय नोगोरारि सोदांनाय आइन नि हेंथायै जौसिन बिजिरसालि (Supreme Court) याव आर'ज लाइ (Petition) गाबहरगोन। लोगोसे गासैबो मेथाइ रोजाबगिरि समाजा जौसिन बिजिरसालियाव नुजाथिनायनि थाखाय साखा फारा जादों। बे बादि हालोदाव दुगालु आखल आखु दिन्थिबाय थायोब्ला फैगो 2021 माइथायाव जानो गोनां बिधान सभानि बिसायख'थियाव सोरखार दाफुंनाय सिमांआ फेलें जागोन होन्ना फोरमायो।  मख'जाथावदि थांनाय साननै थामनिफ्राय गुवाहाटी नोगोरमानि सान्दमारियाव थानाय आसाम इन्जिनियारिं गेलेग्रा फोथाराव दुलाराय आसाम फरायसा आफादनि बान्जायनायाव सावथुन मुलुगनि फावखुंगुर फावखुंग्रि फोरा बायदिसिना सोमावसारनाय, सय्ताग्रह हाबाफारियाव बाहागो लानानै बि जे पि सोरखारनि हेंथायै गारांसेयै गाबज्रिदों जोंनो का नाङा, जों मानिनानै लानो हासिना , बि जे पि सोरखार बेरेखा बायदि बायदि स्ल'गानजों खुद्रिसारनानै गोमखांहोदोंमोन।","सोरखार गेलेग्रा जागोन बिसायख' थियाव सोमजिहोनाय नोगोरारि सोदांनाय आइनखौ गनायथि होयोब्ला आं थैलांनोबो गिया। आसामनि सोरखारा राज्यो-राजानि दुखु दाहाखौ बुजिनो नांगौ, उन्दै उन्दै बैसोनि गथ' नि दुखुखौ बुजिनाया गाहाम। लोगोसे आरोबाव दाजाबदेरनानै बुंबावो दि आसामनि महरगिरि गौथुम (Artist Association of Assam) आ दासिमाव राज्योनि हालोदखौ दुहाव एबा गुलं गुजु थासारि सोमजिहोनाय नौगोरारि सोदांनाय आइन् नि हेंथायै जौसिन बिजिरसालि (Supreme Court) याव आर 'ज लाइ (Petition) गाबहरगोन। लोगोसे गासैबो मेथाइ रोजाबगिरि समाजा जौसिन बिजिरसालियाव नुजाथिनायनि थाखाय साखा फारा जादों। बे बाद हालोदाव दुगालु आखल आखु दिन्थिबाय थायोब्ला फैगो 2021 माइथायावँ जानो गोनां बिधान सभानि बिसायख' थियाव सौरखार दाफुंनाय सिमांआ फेलें जागोन होन्ना फोरमायो। मख' जाथावदि थांनाय साननै थामनिफ्राय गुवाहाटी नोगोरमानि सान्दमारियाव थानाय आसाम इन्जिनियारिं गेलेग्रा फोथाराव दुलाराय आसाम फरायसा आफादनि बान्जायनायाव सावथुन मुलुगनि फावखुंगुर फावखुंग्रि फोरा बायदिसिना सोमावसारनाय, सय्ताग्रह हाबाफारियाव बाहागो लानानै बि जे पि सौरखारनि हेंथायै गारासेयै गाबज्रिदों जोंनो का नाङा, जों मानिनानै लानों हासिना, बि जे पि सोरखार बेरेखा बायदि बायदि स्ल' गानजों खुद्रिसारनानै गोमखांहोदोंमोन। ","सोरखार गेलेग्रा जागोन बिसायख' थियाव सोमजिहोनाय नोगोरारि सोदांनाय आइनखौ गनायथि होयोब्ला आं थैलांनोबो गिया। आसामनि सोरखारा राज्यो-राजानि दुखु दाहाखौ बुजिनो नांगौ, उन्दै उन्दै बैसोनि गथ'नि दुखुखौ बुजिनाया गाहाम। लोगोसे आरोबाव दाजाबदेरनानै बुंबावो दि आसामन् िमहरगिरि गौथुम (Artist Association of Assam) आ दासिमाव राज्योनि हालोदखौ दुहाव एबा गुलुं गुजु थासारि सोमजिहोनाय नौगोरारि सोदांनाय आइन् नि हेंथायै जौसिन बिजिरसालि (Supreme Court) याव और 'ज लाइ (Petition) गाबहरगोन। लोगोसे गासैबो मेथाइ रोजाबगिरि समाजा जौसिन बिजिरसालियाव नुजाथिनायनि थाखाय साखा फारा जादों। बे बादि हालोदाव दुगालु आखल आखु दिन्थिबाय थायोब्ला फैगो 2021 माइथायावँ जानो गोनां बिधान सभानि बिसायख' थियाव सोरखार दाफुंनाय सिमांआ फेलें जागोन होन्ना फोरमायो। मख'जाथावदि थांनाय साननै थामनिफ्राय गुवाहाटी नोगोरमानि सान्दमारियाव थानाय आसाम इन्जिनियारिं गेलेग्रा फोथाराव दुलाराय आसाम फरायसा आफादनि बान्जायनायाव सावथुन मुलुगनि फावखुंगुर फावखंग्रि फोरा बायदिसिना सोमावसारनाय, सय्ताग्रह हाबाफारियाव बाहागो लानानै बि जे पि सौरखारनि हेंथायै गारासेयै गाबज्रिदों जोंनो का नाङा, जों मानिनानै लानो हासिना, बि जे पि सोरखार बेरेखा बायदि बायदि स्ल' गानजों खुद्रिसारनानै गोमखांहोदोंमोन। ","सोरखार गेलेग्रा जागोन बिसायख' थियाव सोमजिहोनाय नोगोरारि सोदांनाय आइनखौ गनायथि होयोब्ला आं थैलांनोबो गिया। आसामनि सोरखारा राज्यो-राजानि दुखु दाहाखौ बुजिनो नांगौ, उन्दै उन्दै बैसोनि गथ'नि दुखुखौ बुजिनाया गाहाम। लोगोसे आरोबाव दाजाबदेरनानै बुंबावो दि आसामनि महरगिरि गौथुम (Artist Association of Assam) आ दासिमाव राज्योनि हालोदखौ दुहाव एबा गुलुं गुजु थासारि सोमजिहोनाय नौगोरारि सोदांनाय आइन् नि  हेंथायै जौसिन बिजिरसालि (Supreme Court) याव और 'ज लाइ (Petition) गाबहरगोन। लोगोसे गासैबों  मेथाइ रोजाबगिरि समाजा जौसिन बिजिरसालियाव नुजाथिनायनि थाखाय साखा फारा जादों। बे बाद हालोदाव दुगालु आखल आखु  दिन्थिबाय थायोब्ला फैगो 2021 माइथायावँ जानो गोनां बिधान सभानि बिसायख 'थियाव सोरखार दाफुंनाय  सिमांआ फेलें जागोन होन्ना फोरमायो। मख 'जाथावदि थांनाय साननै थामनिफ्राय गुवाहाटी नोगोरमानि सान्दमारियाव थानाय आसाम इन्जिनियारिं गेलेग्रा फोथाराव दुलाराय आसाम फरायसा आफादनि बान्जायनायाव सावथुन मुलुगनि फावखुंगुर फावखंग्रि फोरा बायदिसिना सोमावसारनाय, सय्ताग्रह हाबाफारियाव बाहागो लानानै बि जे पि सौरखारनि हेंथायै गारासेयै  गाबज्रिदों जोंनो का  नाङा, जों मानिनानै लानो हासिना, बि जे पि सोरखार बेरेखा बायदि बायदि स्ल' गानजों खुद्रिसारनानै गोमखांहोदोंमोन। ","सोरखार गेलेग्रा जागोन बिसायख'थियाव सोमजिहोनाय नोगोरारि सोदांनाय आइनखौ गनायथि होयोब्ला आं थैलांनोबो गिया। आसामनि सोरखारा राज्यो-राजानि दुखु दाहाखौ बुजिनो नांगौ, उन्दै उन्दै बैसोनि गथ' नि दुखुखौ बुजिनाया गाहाम। लोगोसे आरोबाव दाजाबदेरनानै बुंबावो दि आसामन् महरगिरि गौथुम (Artist Association of Assam) आ दासिमाव राज्योनि हालोदखौ दुहाव एबा गुलुं गुजु थासारि  सोमजिहोनाय नौगोरारि सोदांनाय आइन नि हेंथायै जौसिन बिजिरसालि (Supreme Court) याव आर'ज लाइ (Petition ) गाबहरगोन। लोगोसे गासैबो मेथाइ रोजाबगिरि समाजा जौसिन बिजिरसालियाव नुजाथिनायनि थाखाय साखा फारा जादों । बे बादि हालोदाव दुगालु आखल आखु दिन्थिबाय थायोब्ला फैगो 2021 माइथायावँ जानो गोनां बिधान सभानि  बिसायख'थियाव सोरखार दाफुंनाय सिमांआ फेलें जागोन होन्ना फोरमायो। मख' जाथावदि थांनाय साननै थामनिफ्राय गुवाहाटी नोगोरमानि सान्दमारियाव थानाय आसाम इन्जिनियारिं गेलेग्रा फोथाराव दुलाराय आसाम फरायसा आफादनि बान्जायनायाव सावथुन  मुलुगनि फावखुंगुर फावखंग्रि फोरा बायदिसिना सोमावसारनाय, सय्ताग्रह हाबाफारियाव बाहागो  लानानै बि जे पि सौरखारौन हेंथायै गाँरासेयै गाबज्रिदों जोंनो का नाङा , जों मानिनानै लानों हासिना, बि जे पि सोरखार बेरेखा बायदि  बायदि स्ल'गानजों खुद्रिसारनानै गोमखांहोदोंमोन। "
Devanagari_Poppins_13,भारत मख'जाथावदि सोदांनाय बादिब्ला दि असम गण परिषद दोलोनि बारग' आफादगिरि आरो बै समनि जारिमिनारि आसाम गोरोबथानि मुंसाइ होगिरि प्रफुल्ल कुमार महन्त बिथांआ नोगोरारि सोदांनाय आइनखौ लानानै गोख्रों रागा जोंखांनायखौ नुनो मोननाय जादों। बिथांआ बुंदों दि नसुङारि हादोर बांलादेशाव थानाय हिन्दु सुबुंफोरखौ काट अफ यार 2014 माइथायनि 31 डिसेम्बर बादियै भारतारि नोगोरारिनि मानदान्दा गनायथि होनाय जागोन। मख'जाथावदि बांलादेश आरो गुबुन गुबुन हादोराव थानाय हिन्दु सुबुंफोरखौ दोहोरोम बेलायाव सेरखाय बेरखाय थासारिजों भुगिनांनो गोनां थासारिखौ रैखाथि होनो थाखाय सोरखारा बे थिरांथाखौ आजावदों होन्ना बुंथियो। भारतनि अनगायै गुबुन गुबुन जायगाफोराव थानांनाय हिन्दु सुबुंफोरखौ रैखाथि होनाया जोंनि मावनां बिबान।  नोगोरारि सोदांनाय आइननि बादिब्ला 2014 माइथायनि 31 डिसेम्बर नि समसिमानि गेजेराव भारत हादोराव हाबफैनाय मुस्लिम नङै सुबुंफोरखौ भारतारि नोगोरारिनि मानदान्दा गनायथि होगोन। नाथाय गोनांथार खोथाया बेनो दि काट अफ यार नि सिगां नि समाव भारताव हाबफैनाय सुबुंखौ भारतारि नोगोरारिनि मानदान्दा गनायथि होनाय बिथिंआव सिरि थादों। बेबादि जिंगासिनांगौ हालोदाव 2014 माइथायनि 31 डिसेम्बर समाव भारताव हाबफैनाय गोबां हिन्दु सुबुंआ नोगोरारि मानदान्दा गनायथिनि थाखाय आर'ज गाबहरनो हागोन।,भारत मख'जाथावदि सोदांनाय बादिब्ला दि असम गण परिषद दोलोनि बारगः आफ्रागिरि आरो बै समनि जारिमिनारि आसाम गोटोबथानि मुंसाइ होगिरि प्रफुल्ल कुमार महन्त बिथांआ नोगोरि सोदांनाय आइनखौ लानाने गोखों रागा जोंखांनायखौ नुनो मोननाय जादों। बिथांआ बंदों दि नसुङारि हादोर बांलादेशाव थानाय हिन्द सबंफोरखौ काट अफ यार 2014 माइथायनि 31 डिसेम्बर बादिये भारतारि नोगोरारिनि मान्दान्दा गनाथ होनाय जागोन। मख'जाथावदि बालादेश आरो गुबन गबन हादोराव थानाय हिन्दु सबंफोरखौ दोहोरोम बेलायाव सूरखाय बेदखाय थासारिजों भूगिनांनो गोनां थासारिखौ रैखाथि होनो थाखायें सौरेखारा बे थिरांथाखौ आजावदों होन्ना बंथियो। भारतनि अनगायै गुबुन गुबुन जायगाफोराव थानांनाय हिन्दु सुबुंफोरखौ रैखाथि होनाया जोंनि मावना बिबान। नोगोरारि सोदांनाय आइननि बादिब्ला 2014 माइथायनि 31 डिसेम्बर नि समसिमानि गुजेराव भारत हादोराव हाबफैनाय मुस्लिम नङे सबंफोरखौ भारतारि नोगोरारिनि मानदान्दा गनायथि होगोना नाथाय गोनाथार खोथाया बेनौ दि काट अफ यार नि सिगां नि समाव भारताव हाबफैनाय सुबंखौ भारतारि नोगोप्रिनि मानदान्दा गनायथि होनाय बियिंआव सिरि थादों। बेबादि जिंगासिनांगौ हालोदाव 2014 माइथायनि 31 डिसेम्बर् समाव भारताव हाबफैनाय गोबां हिन्दु सुबुंआ नोगोरारि मानदान्दा गनायथिनि थाखाय आर'ज गाबहरनो हागोन। ,भारत मख'जाथावदि सोदांनाय बादिब्ला दि असम गण परिषद दोलोनि बारगः आफ्रागिरि आरो बै समनि जारिमिनारि आसाम गोटोबथानि मुंसाइ होगिरि प्रफुल्ल कुमार महन्त बिथांआ  नोगोरि सोदांनाय आइनखौ लानाने गोखों दागा जोंखांनायखौ ननो मोननाय जादों।  बिथांआ बुदों दि नसुङारि हादोर बांलादेशाव थानाय हिन्दू सुबंफोरखौं काट्ट अफ यार 2014 माइथायनि ३1 डिसेम्बर बादिये भारतारि नोगोरारिनि  मान्दान्दा गनार्यथि होनाय जागोन। मख'जाथावदि बांलादेश आरो गुबुन  गबन हादोराव थानाय हिन्दु सुबंफोरखौ दोहोरोम बेलायाव सुरखाय बेदखाय थासारिजों भगिनांनो गोनां थासारिखौ रैखाथि होनो थाखायें  सौरेखारा बे थिरांथाखौ आजावदों अनगायै गुबुन गुबुन जायगाफोराव थानांनाय हिन्दु सुबुंफोरखौ रैखाथि होनाया जोंनि मावना बिबान। वदों  होन्ना  बंथियो।  भारतनि नोगोरारि सोदांनाय आइननि वा॒दिब्ला 2014 माइथायनि 31 डिसेम्बर नि समसिमान् गेजेराव भारत हादोराव हाबफैनाय मुस्लिम नङे  सबंफोरखौ भारतारि नोगोरारिनि मानदान्दा गनायथि होगौना नाथाय गोनाथार खोथाया बेनौ दि काट अफ यार  नि सिगां नि समाव भारताव हाबफैनाय सुबखौ भारतारि नोगोरिनि मानदान्दा गनायथि होनाय बिथिंआव  सिरि थादों। बेबादि जिंगासिनांगौ हालोदाव 2014 माइथायनि 31 डिसेम्बर समाव भारताव हाबफैनाय गोबां हिन्दु सुबुआ नोगोरारि मानदान्दा गनायथिनि थाखाय आर'ज गाबहरनो हागोन। ,भारत मख'जाथावदि सोदांनाय बादिब्ला दि असम गण परिषद दोलोनि बारगः आफ्रागिरि आरो बै समनि जारिमिनारि आसाम गोटोब्थानि मुंसाइ होगिरि प्रफुल्ल कुमार महन्त बिथांआ नोगोरि सोदांनाय आइनखौ लानानै गोखों  दागा जोंखांनायखौ नुनो मोननाय  जादों। बिथांआ बंदों दि नस्ङारि हादोर बांलादेशाव थानाय हिन्द  सबंफोरखौ काट अफ यार 2014 माइथायनि 31 डिसेम्बर बादिये भारतारि नोगोरारिनि मान्दान्दा गनाथ  होनाय जागोन। मख'जाथावद्ि बांलादेश  आरो गुबुन गबन हादोराव थानाय हिन्द सबंफोरखौ दोहोटोम बेलायाव  सूदखाय बेदखाय् थासारिजों भुगिनांनो  गोनां थासारिखौ रैखाथि होनो थाखायें सौरेखारा बे थिरांथाखौ आजाव्दों  होन्ना बंथियो। भारतनि अनगायै गुबुन गुबुन जायगाफोराव थानांनाय हिन्दु सुबुफोरखौ रैखाथि होनाया  जोंनि मावना बिबान। नोगोरारि सोदांनाय आइननि बादिब्ला 2014 माइथायनि 31 डिसेम्बर नि समसिमानि गेजेराव भारत हादोराव हाबफैनाय मुस्लिम नङे सबंफोरखौ भारतारि नोगोरारिनि मानदान्दा  गनायथि होगोन। नाथाय गोनाथार खोथाया  बेनौ दि काट अफ यार नि सिंगां नि समाव भारताव हाबफैनाय  सबखौ भारतादि नोगोरिनि मानदान्दा गनायथि  होनाय बिथिंआव सिरि थादों। बेबादि जिंगासिनांगौ हालोदाव 2014  माइथायनि 31 डिसेम्बर् समाव  भारताव हाबफैनाय गोबां हिन्दु सुबुआ नोगोरारि मानदान्दा  गनायथिनि थाखाय आरंज गाबहरनो हागोन। ,भारत मख'जाथावदि सोदांनाय बादिब्ला दि असम गण परिषद दोलोनि बाटग आफ्रागिरि आरो बै समनि जारिमिनारि आसाम गोटोबथानि मुसाइ होगिरि प्रफुल्ल कुमार महन्त बिथांआ नोगौरि सोदांनाय आइनखौ लानाने गोखों दागा जोंखांनायखौ नुनो मोननाय जादों। विथांआ बंदों दि नसुङारि हादोर बांलादेशाव थानाय हिन्द सबंफोरखौ काट अफ यार 2014 माइथायनि ३ डिसेम्बर बादिये भारतारि नोगोरारिनि मान्दान्दा गनाौथे हीग्य जागोन। मख'जाथावद्ि बालादेश आरो गुबुन गबन हादोराव थानाय हिन्द सुबंफोरखौ दोहोटोम बेलायाव सुट्खाय बेदखाय् थासारिजों भुगिनांनो गोनां थासारिखौ रैखाथि होनो थाखाये सौरेखाटा बे थिरांथाखौ आजाव्दों वदों होन्ना बुथियो। भारतनि अनगाय गुबुन गुबुन्न जायगाफाटराव यानानाय हिन्दु सुबुफोरखौ रैखाथि होनाया जोंनि मावना बिबान। नो竝टारि सोदांनाय आइननि दिला 2014 माइथायनि 31 डिसेम्बर नि समसिमानि गेजेराव भारत हादोराव हाबफैनाय मुस्लिम नङे सुबंफोरखौ भारतारि नोगोरारिनि मानदान्दा गनायथि होगोन। नाथाय नाथार खोथाया बेनौँ दि काट अफे यार नि सिंगां नि समाव भारताव ह्यूबफैनाय सुबुंखौ भारतादि नोगोप्रिनि मानदान्दा गनायथि होनाय बियिंआव सिरि थादों। ब्रेग्दि जिंगासिनांगौ हालोदाव 2014 माइथायनि 31 डिसेम्बर् समाव भारताव हाबफैनाय गोबां हिन्दु सुबुआ नोगोरारि मानदान्दा गनायथिनि थाखाय आर'ज गाबहरनो हागोन। 
Devanagari_Noto_Sans_8,गोनां दि राज्योनि फेजेन्नानै आरो आसामनि गेलेथिलिनि बिथिङाव मोनसे मोजां खौरां। मुंदांखा राफोद लाइमोन बक्सिं गेलेगिरि सुनितपुरनि फिसाजो जमुना बर'आ बृहस्पतिबार खालि मुलुुगनां आयजो बक्सिं सेम्पियनसिप 2019 नि सेमि फाइनेलाव सोहैनो हाबाय।  रायखांनो गोनां दि कुवारटार फाइनेल खेलायाव गावनि बेरेखा बक्सिं गेलेगिरि जार्मानिनि उर्सुला गटलबखौ फेजेन्नानै 54 किलग्राम (KG) लिरथाइनि खेलायाव जमुना बर'आ सेमि फाइनेलाव गावनि मासि आवग्रिनो हायो।  कुवारटार फाइनेल खेलायाव जार्मानिनि बक्सार गोख्रों गेलेगिरिखौ 4-1 पइन्टाव फेजेन्नानै देरहानाय नि माला गाननो हासिनो 22 बोसोर बैसोनि आसामनि सुनितपुरनि फिसाजो जमुना बर'आ।  फैगो 12 अक्ट'बराव रासियायाव खुंफुं जानो गोनां सेमि फाइनेल खेलायाव गेलेगिरि जमुना बर'आ साइनिस टाइपेनि हेंथायै गेलेमु दावहायाव मुगा मुगि जुजिगोन।  रायखांनो गोनां दि बे सेम्पियनसिप खेलायाव गिबिसिननि थाखाय सेमि फाइनेलाव सोहैनाया भारतनि थाखाय मोनथाम बान्था दखल खालामनायखौ रोखा खालाम फिनबाय।  मनिपुरनि फिसाजो मेरि कम आरो मन्जु रानिनि जोहै बादायलायनायाव दासिमाव भारत हादोरा मोननै बान्था आवग्रिनायखौ रोखा खालामदों। राज्योनि गुबुन सासे लाइमोन आयजो बक्सिं गेलेगिरि गलाधाटनि लाभलीना बरगहाइयाबो गावनि बेरेखा गेलेगिरि फेजेन्नानै कुवार टार फाइनेलाव सोहैनो हादों। सिगांनि खेलाफोराव जमुना बर'आ मंगलियान नि गोख्रों बक्सिं गेलेगिरि मिसिद्मा आर्नेदलाइ आरो आलजिरियानि गोख्रों बक्सिं गेलेगिरि फाउथ आबिदादखौ फेजेन्नानै देरहानायनि माला गान्नानै रोखा खालामदोंमोन।,गोनां दि राज्योनि फेजेन्नानै आरो आसामग्नि गेलेथिलिनि बिथिङाव मोनसे मोजां खौरां। मुंदांखा राफोद लाइमोन बक्सिं गेलेगिरि सुनितपुरनि फिसाजो जमुना बर'आ बृहस्पतिबार खालि मुलुगनां यजो बक्सिं सेम्पियनसिप 2019 नि सौम फाइनेलाव सोहैनो हाबाय। रायखांनो गोनां दि कुवारटार फाइनेल खेलायाव गावनि बेरेखा बक्सिं गेलेगिरि जार्मानिनि उर्सुला गटलबखौ फेजेन्नानै 54 किलग्राम (KG) लिरथाइनि खेलायाव जमुना बर'आ सेमि फाइनेलाव गावनि मासि आवग्रिनो हायो। कुवाटार फाइनल खेलायाव जार्मानिनि बक्सार गोखों गेलेगिरिखौ 4-1 पइन्टाव फेजेन्नानै देरहानाय नि माला गाननो हासिनो 22 बोसोर बैसोनि आसामनि सुनितपुरनि फिसाजो जमुना बर'आ। फैगो 12 अक्टू'बराव रासियायाव खुंफुं जानो गोनं सेमि फाइनेल खेलायाव गेलेगिरि जमुना बर'आ साइनिस टाइपेनि हेंथायै गेलेमु दावहायाव मुगा मुगि जुजिगोन। रायखांनो गोनां दि बे सेम्पियनसिप खेायाव गिबिसिननि थाखाय सेमि फाइनेलाव सोहैनाया भारतनि थाखाय मोनथाम बान्था दखल खालामनायखौ रोखा खालाम फिनबाय। मनिपुरनि फिसाजो मेरि कम आरो मन्जु रानिनि जोहै बादायलायनायाव दासिमाव भारत हादोरा मोननै बान्था आवग्रिनायखौ रोखा खालामदों। राज्योनि गुबन सासे लाइमोन आयजो बक्सिं गेलेििग्ग गलाधाटनि लाभलीना बरगहाइयाबो गावनि बेरेखा गेलेगिरि फेजेन्नानै कुवार टार फाइनेलाव सोहैनो हादों। सिगांनि खेलाफोराव जमुना बर'आ मंगलियान नि गोखों बक्सिं गेलेगिरि मिसिद्मा आर्नेदलाइ आरो आलजिरियानि गोखों बॉक्स गेलेगिरि फाउथ आबिदादखौ फेजेन्नानै देरहानायनि माला गान्नानै रोखा खालामदोंमोन। ,गोनां दि राज्योनि फेजेन्नानै आरो आसामनि गेलेथिलिनि बिथिङाव मोनसे मोजां खौरां। मुंदांखा राफोद लाइमोन बक्सिं गेलेगिरि सुनितपुरनि फिसाजो जमुना बर'आ बृहस्पतिबार खालि मुलुगनां आँयजो बक्सिं सेम्पियनसिप 2019 नि सौम फाइनेलाव सोहैनो हाबाय। रायखांनो गोनां दि कुवारटार फाइनेल खेलायाव गावनि बेरेखा बक्सिं गेलेगिरि जार्मानिनि उर्सुला गटलबखौ फेजेन्नानै 54 किलग्राम (KG) लिरथाइनि खेलायाव जमुना बर'आ सेमि फाइनेलाव गावनि माँसि  आवग्रिनो हायो। कुवाटार फाइनल खेलायाव जार्मानिनि बक्सार गोखों गेलेगिरिखौ 4-1 पइन्टाव फेजेन्नानै देरहानाय नि माला गाननो हासिनो 22 बोसोर बैसोनि आसामनि सुनितपुरनि फिसाजो जमुना बर'आ। फैगो 12 अक्ट'बराव रासियायाव खुंफुं जानो गोनं सेमि फाइनेल खेलायाव गेलेगिरि जमुना बर'आ साइनिस टाइपेनि हेंथायै गेलेमु दावहायाव मुगाँ मुगि जुजिगोन। रायखांनो गोनां दि बे सेम्पियनसिप खेलायाव गिबिसिनन्नि थाखाय सेमि फाइनेलाव सोहैनाया भारतनि थाखाय मोनथाम बान्था दखल खालामनायखौ रोखा खालाम फिनबाय। मनिपुरनि फिसाजो मेरि कम आरो मन्जु रानिनि जोहै बादायायनायाव दासिमाव भारत हादोरा मोननै बान्था आवग्रिनायखौ रोखा खालामदों। राज्योनि गुबुन सासे लाइमोन आयजो बक्सिं गेलेगिग्रि गलाधाटनि लाभलीना बरगहाइयाबो गावनि बेरेखा गेलेगिरि फेजेन्नानै कुवार टार फाइनेलाव सोहैनो हादों। सिगांनि खेलाफोराव जमुना बर'आ मंगलियान नि गोखों बक्सिं गेलेगिरि मिसिद्मा आर्नेदलाइ  आरो आलजिरियानि गोखों बॉक्स गेलेगिरि फाउथ आबिदादखौ फेजेन्नानै देरहानायनि माला गान्नानै रोखा खालामदोंमोन। ,गोनां दि राज्योनि फेजेन्नानै आरो आसानि गेलेथिलिनि बिथिङाव मोनसे मोजां खौरां। मुंदांखा राफोद लाइमोन बक्सिं गेलेगिरि सुनितपुरनि फिसाजो जमुना बर'आ बृहस्पतिबार खालि मुलुगनां  यजो बक्सिं सेम्पियनसिप 2019 नि सौम फॉइनेलाव सोहैनो हाबाय। रायखांनो गोनां दि कुवारटार फाइनेल खेलायाव गावनि बेरेखा बक्सिं गेलेगिरि जार्मानिनि उर्सुला गटलबखौ फेजेन्नानै 54 किलग्राम (KG)  लिरथाइनि खेलायाव जमुना बर'आ सेमि फाइनेलाव गावनि मासि आवग्रिनो हायो। कुवार्तार फाइनल खेलायाव जार्मानिनि बक्सार गोखों गेलेगिरिखौ 4-1 पइन्टाव फेजेन्नानै देरहानाय नि माला  गाननो  हासिनो 22 बोसोर बैसोनि आसामनि सुनितपुरनि फिसाजो जमुना बर'आ। फैगो 12 अक्टू'बराव रासियायाव खुंफूं जानो गोनं सेमि फाइनेल खेलायाव गेलेगिरि जमुना बर'आ साइनिस  टाइपेनि  हेंथायै गेलेमु दावहायाव मुगाँ मुगि जुजिगोन। रायखांनो गोनां दि बे सेम्पियनसिप खेलायाव गिबिसिननि थाखाय सेमि फाइनेलाव सोहैनाया भारतनि थाखाय मोनथाम बान्था  दखल खालामनायखौ रोखा खालाम फिनबाय। मनिपुरनि फिसाजो मेरि कम आरो मन्जु रानिनि जोहै बादायलायनायाव दासिमाव भारत हादोरा मोननै बान्था आवग्रिनायखौ रोखा खालामदों। राज्योनि गुबन सासे लाइमोन आयजो बक्सिं गेलेगिरि गलाधाटनि लाभलीना बरगहाइयाबो गावनि बेरेखा गेलेगिरि फेजेन्नानै कुवार टार फाइनेलाव सोहैनो हादों। सिगांनि खेलाफोराव जमुना बर'आ मंगलियान नि गोखों बक्सिं गेलेगिरि मिसिद्मा आर्नेदलाइ आरो आलजिरियानि गोखों बॉक्स गेलेगिरि फाउथ आबिदादखौ फेजेन्नानै देरहानायनि माला गान्नानै रोखा खालामदोंमोन। ,गोनां दि राज्योनि फेजेन्नानै आरो आसामनि गेलेथिलिनि बिथिङाव मोनसे मोजां खौरां। मुंदांखा राफोद लाइमोन बक्सिं गेलेगिरि सुनितपुरनि फिसाजो जमुना बर'आ बृहस्पतिबार खालि मुलुगनां आँयजो बक्सिं सेम्पियनसिप  2019 नि सौम  फाइनेलाव सोहैनो हाबाय। रायखांनो गोनां दि कुवारटार फाइनेल खेलायाव गावनि बेरेखा बक्सिं गेलेगिरि जार्मानिनि उर्सुला गटलबखौ फेजेन्नानै 54 किलग्राम (KG) लिरथाइनि खेलायाव जमुना बर'आ सेमि फाइनेलाव  गावनि माँसि आवग्रिनो हायो। कुवाटार फाड्नेल खेलायाव जार्मानिनि बक्सार गोखों गेलेगिरिखौ 4-1 पइन्टाव फेजेन्नानै देरहानाय नि माला गाननो हासिनो 22 बोसोर बैसोनि आसामनि सुनितपुरनि फिसाजो जमुना बर'आ। फैगो 12 अक्ट'ब्रा॒व रासियायाव खुंफुं जानो गोनं सेमि फाइनेल खेलायाव गेलेगिरि जमुना बर'आ साइनिस टाइपेनि हेंथायै गेलेमु दावहायाव मुगाँ मुगि जुजिगोन। रायखांनो गोनां दि बे सेम्पियनसिप खेलायाव गिबिसिनि थाखाय सेमि फाइनेलाव सोहैनाया भारतनि थाखाय मोनथाम बान्था दखल खालामनायखौ रोखा खालाम फिनबाय। मनिपुरनि फिसाजो मेरि कम आरो मन्जु रानिनि जोहै वा॒दायायनायाव दासिमाव भारत हादोरा मोननै बान्था आवग्रिनायखौ रोखा खालामदों। रॉज्योनि गुबुन सासे लाइमोन आयजो बक्सिं गेलेग्रि गलाधाटनि लाभलीना बरगहाइयाबो गावनि बेरेखा गेलेगिरि फेजेन्नानै कुवार टार फाइनेलाव सोहैनो हादों। सिगांनि खेलाफोराव जमुना बर'आ मंगलियान नि गोखों बक्सिं गेलेगिरै मिसिद्मा आर्नेदलाइ आरो आलजिरियानि गोख्रों बॉक्सं गेलेगिरि फाउथ आबिदादखौ फेजेन्नानै देरहानायनि माला गान्नानै रोखा खालामदोंमोन। 
